User-ID,ISBN,Book-Rating
276925,0971880107,0
276939,0971880107,0
276954,0971880107,0
277042,0971880107,2
277157,0971880107,0
277378,0971880107,0
277427,0971880107,0
277478,0971880107,0
277530,0971880107,0
277932,0971880107,0
278137,0971880107,0
278176,0971880107,9
278373,0971880107,0
278514,0971880107,0
14,0971880107,0
193,0971880107,0
242,0971880107,0
487,0971880107,0
569,0971880107,0
626,0971880107,0
899,0971880107,2
901,0971880107,0
970,0971880107,0
1025,0971880107,0
1140,0971880107,0
1343,0971880107,0
1435,0971880107,5
1486,0971880107,5
1733,0971880107,1
1863,0971880107,0
276925,0316666343,0
277195,0316666343,0
277413,0316666343,0
277427,0316666343,0
277439,0316666343,7
277752,0316666343,7
277965,0316666343,0
278633,0316666343,9
243,0316666343,0
388,0316666343,0
638,0316666343,10
709,0316666343,3
1075,0316666343,7
1111,0316666343,0
1928,0316666343,10
2358,0316666343,0
2766,0316666343,9
2790,0316666343,0
2854,0316666343,7
3261,0316666343,8
3346,0316666343,9
3363,0316666343,0
3593,0316666343,9
4017,0316666343,10
4334,0316666343,0
4795,0316666343,9
4802,0316666343,9
5049,0316666343,8
5351,0316666343,0
5476,0316666343,4
276925,0385504209,8
277427,0385504209,8
277439,0385504209,0
277589,0385504209,0
638,0385504209,10
882,0385504209,10
1075,0385504209,7
1211,0385504209,9
1652,0385504209,7
1803,0385504209,9
2179,0385504209,10
3363,0385504209,0
3556,0385504209,10
3999,0385504209,10
4098,0385504209,10
4169,0385504209,10
4334,0385504209,0
4514,0385504209,0
5476,0385504209,10
5559,0385504209,8
5722,0385504209,7
5727,0385504209,0
6535,0385504209,10
6543,0385504209,0
6575,0385504209,0
6815,0385504209,10
7246,0385504209,0
7283,0385504209,9
7915,0385504209,10
8006,0385504209,9
277895,0060928336,0
278007,0060928336,0
278144,0060928336,0
805,0060928336,7
900,0060928336,9
1025,0060928336,5
2337,0060928336,9
2559,0060928336,7
2790,0060928336,0
2891,0060928336,6
2995,0060928336,6
3363,0060928336,0
3371,0060928336,0
4017,0060928336,0
5439,0060928336,8
5539,0060928336,0
5737,0060928336,0
6349,0060928336,8
6563,0060928336,0
6575,0060928336,8
7033,0060928336,9
7107,0060928336,8
7286,0060928336,0
7346,0060928336,0
7915,0060928336,0
8086,0060928336,10
8253,0060928336,10
8509,0060928336,0
8580,0060928336,10
8652,0060928336,9
277378,0312195516,7
277462,0312195516,10
277937,0312195516,0
278137,0312195516,0
278350,0312195516,9
446,0312195516,0
805,0312195516,0
882,0312195516,0
1008,0312195516,9
1805,0312195516,9
2333,0312195516,9
3879,0312195516,0
4157,0312195516,0
5091,0312195516,0
5609,0312195516,0
5903,0312195516,0
6242,0312195516,7
6251,0312195516,0
6543,0312195516,0
6575,0312195516,8
6679,0312195516,10
7134,0312195516,9
7283,0312195516,0
7378,0312195516,0
7620,0312195516,10
